userid	shopid	itemid	cmtid	mtime	rating_star	comment	product_name	shop_name	shop_rating	avg_rating	rating_count	sold
userid	shopid	itemid	cmtid	mtime	rating_star	comment	product_name	shop_name	shop_rating	avg_rating	rating_count	sold
810253522	637616510	18568644993	12116383373	29-09-2023 22:20:02	1	hàng nhỏ quá so với tưởng tượng khong nên mua nha mọi người.	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
575924264	637616510	18568644993	12170690472	07-10-2023 21:58:02	1	Chất lượng sản phẩmmay ko đều. Bao bìMẫu mãđóng gói cận thận. Độ tuổi sử dụng. Nhỏ ko giống trong ảnh	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
993010303	637616510	18568644993	11404713479	04-05-2023 17:21:31	1	Sản phẩm giao ko to như quảng cáo tôi quá thất vọng trong khi tôi đặt side lớn nhât mà giao lại rất nhỏ	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
1036348363	637616510	18568644993	12198903516	17-08-2023 21:01:00	1	Sao tôi đặt cm mà h giao mà con gấu có chút ét là sao	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
885201790	637616510	18568644993	12759041999	04-10-2023 11:38:44	1	Không đúng kích thước bực mình quá h	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
1078367005	637616510	18568644993	12751680939	03-10-2023 15:47:03	2	Chất lượng sản phẩmrất bé và ko đc mềm mại. Vận chuyển rất nhanh và tốt, nhưng sản phẩm ko đc như ý muốn	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
948932939	637616510	18568644993	12210006992	17-08-2023 21:01:06	3	Có nhận đc hàng đâu mà nói trời giao hàng kiểu	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
943138441	637616510	18568644993	10700564938	04-02-2023 18:24:25	3	Nó bị vẹo sang một bên rùii	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
768752485	637616510	18568644993	12803439976	08-10-2023 18:13:39	3	Chất lượng sản phẩmhơi cứng. Đẹp	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
1018736647	637616510	18568644993	11806289987	11-10-2023 13:53:22	3	Mình ôm nó ngủ toàn mơ tâm linh th	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
1026261698	637616510	18568644993	12082834463	25-07-2023 13:05:17	4	Bao bìMẫu mãđống hàg cẩn thận. Độ tuổi sử dụng tuổi. Chất lượng sản phẩmkhá tốt	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
915687406	637616510	18568644993	11766891266	28-07-2023 04:25:15	4	Vừa lấy hành mở ra đãbị rách đuôi nma cx đc	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
498123951	637616510	18568644993	12491548725	06-09-2023 10:41:40	4	Bao bìMẫu mãkhông giống hình cho lắm	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
942485113	637616510	18568644993	10715548096	06-02-2023 15:14:10	4	Tốt đẹp	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
887205173	637616510	18568644993	12831113523	11-10-2023 12:16:29	4	Uy tín	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
583138676	637616510	18568644993	10661115475	12-10-2023 12:18:50	5	Bao bìMẫu mãcẩn thận. Chất lượng sản phẩmđúng. Tôi rất thích đơn hàng này và anh ship cũng rất vui tính.Có dịp tôi sẽ ủng hộ shop tiếp	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
73465448	637616510	18568644993	11970828246	12-10-2023 12:19:07	5	Gấu bông phù hợp với giá tiền, mọi người nên mua nhé	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
415298235	637616510	18568644993	12333403331	12-10-2023 12:20:15	5	Chất lượng sản phẩmbông mềm mại. Bao bìMẫu mãgọn. tính chiều dài khi gói hàng chỉ tầm cm tuy nhiên cũng vừa ôm. nhưng mình chỉ gối thôi	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
658037476	637616510	18568644993	12653586642	11-10-2023 22:48:49	5	Chất lượng sản phẩmmềm. Độ tuổi sử dụngtrẻ em. Bao bìMẫu mãđúng như bao bì. Gâu Bông mêm mai dê thương nhưng hơi be màu hông cho shop sao ships pơ thân thiên shop đong goi rât cân thân đuôi dài màu đen và mầu hông giao hàng rât nhanh chóng chỉ mang tính chât nhận xu	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
865113709	637616510	18568644993	11949456685	08-10-2023 19:18:08	5	Chất lượng sản phẩmtốt. Độ tuổi sử dụngmọi độ tuổi. Bao bìMẫu mãđẹp. Shop đóng gói cẩn thận gấu đẹp mà giá lại rẻ sẽ tiếp tục ủng hộ cho shop	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
851448493	637616510	18568644993	12696992435	10-10-2023 23:59:16	5	Bao bìMẫu mãok. Độ tuổi sử dụngmọi lứa tuổi. Chất lượng sản phẩmbông. Đã nhận được hàng giao hàng nhanh,giao đúng sản phẩm nói chung là được	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
1075986170	637616510	18568644993	12658794803	09-10-2023 22:25:16	5	Chất lượng sản phẩmchất lượng sản phẩm tốt. Bao bìMẫu mãgói hàng cận thận. Độ tuổi sử dụngtắt cả. Sản phẩm đẹp lắm nhee	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
39125137	637616510	18568644993	11601631018	08-10-2023 23:40:10	5	Giao hàng nhanh, sản phẩm đẹp giá cả hợp lý, sẽ ủng hộ shop lần sau, mọi người nên mua	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
283151626	637616510	18568644993	11563451532	09-10-2023 11:54:28	5	Bao bìMẫu mãđẹp. Chất lượng sản phẩmbông cứng, k được mềm. so với đồng tiền thì vậy cũng tạm được. Độ tuổi sử dụngdài. nói chung thì cũng được, giao hàng nhanh nên cho shop sao	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
917234626	637616510	18568644993	12795776331	08-10-2023 09:50:24	5	Chất lượng sản phẩmsản phẩm tốt. Bao bìMẫu mãgấu bông mầu xanh dài cm. Độ tuổi sử dụngmọi lứa tuổi. Đóng gói chặt chẽ, giao hàng nhanh	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
808408786	637616510	18568644993	11990489508	14-07-2023 10:21:04	5	Bao bìMẫu mãshop gói kĩ, cẩn thận,k bị rách. Chất lượng sản phẩmcực tốtt, bông mềm ôm siuu đã. Độ tuổi sử dụngtùy. Nên mua để có ngay bé như v ạaa	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
831627093	637616510	18568644993	12763617113	04-10-2023 18:42:34	5	Độ tuổi sử dụng. Bao bìMẫu mãmàu xanhh. Chất lượng sản phẩmtốt. Đcm ấm hơn nyc gấp	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
886311933	637616510	18568644993	12191760281	08-10-2023 00:54:11	5	Độ tuổi sử dụngphù hợp với mọi lứa tuổi. Bao bìMẫu mãđúng với mô tả. Chất lượng sản phẩmtốt	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
307000358	637616510	18568644993	12678816079	25-09-2023 18:19:25	5	giao hàng lâu, đóng hàng cẩn thận. nhìn nó bé hơn so với tưởng tượng dù đủ cm	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
1043134651	637616510	18568644993	12208787239	12-10-2023 00:27:16	5	Hàng đẹp giao nhanh duyệt đúng mẫu nói chung là okila có dịp sẽ ủng hộ típ	Gấu Bông Khủng Long Đuôi Tim ,Gối Ôm Hình Thú khủng Long Chất Liệu Cao Cấp Siêu Êm	Bé Cưng.SHOP	4.777796	4.5770750988142295	[253, 10, 4, 14, 27, 198]	342
